Authors,Journal,YearPublication,DOI_ISBN,AdditionalSource,match_doi,match_author_journal_year,match_first_author_year,matched_latest,match_manual_support_link,matched_concordance
Matlaga; Davis,J Appl Ecol,2013,10.1111/1365-2664.12057,Matlaga J Appl Ecol 2013 Appendix,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Münzbergová,Plant Biology,2013,10.1111/plb.12007,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Münzbergová; Hadincová; Wild; Kindlmannová,PLoS ONE,2013,10.1371/journal.pone.0056953,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Osunkoya; Perrett; Fernando; Clark; Raghu,Popul Ecol,2013,10.1007/s10144-013-0364-7,Osunkoya Popul Ecol 2013 Supplementary material.pdf; Raghu Basic Appl Ecol 2014.pdf,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Pfingsten,PhD thesis,2013,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Putnam,PhD thesis,2013,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Sletvold; Dahlgren; Øien; Moen; Ehrlen,Glob Change Biol,2013,10.1111/gcb.12167,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Valdes; Garcia; Garcia; Ehrlen,Ecography,2013,10.1111/j.1600-0587.2013.00216.x,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Villellas; Morris; Garcia,Ecography,2013,NA,Villellas Ecol 2013,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Zepeda-Martinez; Manujano; Mandujano; Golubov,J Arid Env,2013,10.1016/j.jaridenv.2012.08.006,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Černá; Münzbergová,PLoS ONE,2013,10.1371/journal.pone.0075563,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Prendeville; Tenhumberg; Pilson,New Phyto,2014,10.1111/nph.12730,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Raghu; Osunkoya; Perrett; Pichancourt,Bas Appl Ecol,2014,10.1016/j.baae.2014.08.006,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Scanga,Plant Ecol,2014,10.1007/s11258-014-0344-9,Scanga PhD thesis 2009,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Shefferson; Warren II.; Pulliam,J Ecol,2014,10.1111/1365-2745.12281,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Shryock; Esque; Hughes,Am J Bot,2014,10.3732/ajb.1400035,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Winter; Jung; Eckstein; Otte; Donath; Kriechbaum,J Appl Ecol,2014,10.1111/1365-2664.12217,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Baldauf; Correa; Ferreira; Santos,Forest Ecol Manag,2015,10.1016/j.foreco.2015.06.022,Baldauf Forest Ecol Manag 2015 Appendix,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Gibert; Magda; Hazard,PLoS ONE,2015,10.1371/journal.pone.0139919,Gibert; Magda; Hazard Oikos 2013,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Haridas; Keeler; Tenhumberg,Ecology,2015,10.1890/13-1984.1,Keeler SW Nat 2011,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Jolls; Marik; Hamze; Havens,Biol Cons,2015,10.1016/j.biocon.2015.04.006,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Lemke; Salguero-Gomez,Popul Ecol,2015,10.1007/s10144-015-0519-9,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Mandujano; Bravo; Verhulst; Carrillo-Angeles; Golubov,Acta Oeco,2015,10.1016/j.actao.2014.12.004,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Silva; Mejias; Garcia,Bas Appl Ecol,2015,10.1016/j.baae.2015.02.009,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Sletvold; Agren,J Ecol,2015,10.1111/1365-2745.12430,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Torres; Casas; Vega; Martinez-Ramos; Delgado-Lemus,Econ Bot,2015,10.1007/s12231-014-9295-2,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Arroyo-Cosultchi; Golubov; Mandujano,Acta Oecol,2016,10.1016/j.actao.2016.01.006,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Aschero; Morris; Vázquez; Alvarez; Villagra,For Ecol Manag,2016,10.1016/j.foreco.2016.03.028,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Lin; Miriti; Goodell,Ecol Evol,2016,10.1002/ece3.2163,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Stas; Langbroek; Bitariho; Sheil; Zuidema,Afr J Ecol,2016,10.1111/aje.12309,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
