years,months,Site,ppt,tmean
2009,1,Haynes,24.43000031,-4.509999752
2009,2,Haynes,8.659999847,-2.049999952
2009,3,Haynes,48.54999924,-0.960000038
2009,4,Haynes,32.18999863,4.650000095
2009,5,Haynes,27.65999985,9.924999237
2009,6,Haynes,70.65000153,13.26000023
2009,7,Haynes,18.22999954,18.29000092
2009,8,Haynes,45.56999969,17.84499931
2009,9,Haynes,16.57999992,16.10499954
2009,10,Haynes,29.65999985,3.300000191
2009,11,Haynes,11.10000038,-0.204999924
2009,12,Haynes,5.329999924,-8.104999542
2010,1,Haynes,26.02000046,-3.38499999
2010,2,Haynes,9.010000229,-2.889999866
2010,3,Haynes,13.51000023,2.204999924
2010,4,Haynes,22.32999992,4.715000153
2010,5,Haynes,64.05999756,6.53000021
2010,6,Haynes,77.68000031,12.60999966
2010,7,Haynes,11.17000008,17.61499977
2010,8,Haynes,28.20000076,17.05500031
2010,9,Haynes,32.79999924,13.64999962
2010,10,Haynes,32.16999817,8.930000305
2010,11,Haynes,29.84000015,-1.409999967
2010,12,Haynes,38.02000046,-4.974999905
2011,1,Haynes,14.57999992,-6.174999714
2011,2,Haynes,7.199999809,-5.355000019
2011,3,Haynes,30.22999954,0.255000114
2011,4,Haynes,36.83000183,2.484999895
2011,5,Haynes,58,7.900000095
2011,6,Haynes,40.65000153,12.30499935
2011,7,Haynes,23.09000015,18.875
2011,8,Haynes,8.529999733,19.15500069
2011,9,Haynes,8.739999771,15.51499939
2011,10,Haynes,38.88999939,7.705000401
2011,11,Haynes,17.34000015,-1.554999948
2011,12,Haynes,20.67000008,-4.985000134
2012,1,Haynes,13.98999977,-3.874999762
2012,2,Haynes,13.02999973,-2.960000038
2012,3,Haynes,46.68999863,2.695000172
2012,4,Haynes,13.31000042,7.059999943
2012,5,Haynes,25.31999969,9.179999352
2012,6,Haynes,12.81999969,14.42000008
2012,7,Haynes,25.26000023,20.77000046
2012,8,Haynes,6.650000095,19.69499969
2012,9,Haynes,7.360000134,15.01499939
2012,10,Haynes,27.44000053,6.335000038
2012,11,Haynes,26.55999947,1.429999948
2012,12,Haynes,35.90999985,-4.590000153
2013,1,Haynes,14.85000038,-6.755000114
2013,2,Haynes,6.869999886,-3.199999809
2013,3,Haynes,8.090000153,0.625
2013,4,Haynes,8.020000458,4.505000114
2013,5,Haynes,35.24000168,10.59000015
2013,6,Haynes,32.34000015,14.82999992
2013,7,Haynes,18.86000061,20.96500015
2013,8,Haynes,16.34000015,19.79500008
2013,9,Haynes,46.34999847,14.47000027
2013,10,Haynes,27.27000046,5.300000191
2013,11,Haynes,15.18999958,0.11500001
2013,12,Haynes,14.10999966,-7.199999809
2014,1,Haynes,13.82999992,-2.599999905
2014,2,Haynes,40.00999832,-4.884999752
2014,3,Haynes,16.36000061,1.24000001
2014,4,Haynes,27.09000015,5.075000286
2014,5,Haynes,19.63999939,10.56499958
2014,6,Haynes,33.36999893,13.51500034
2014,7,Haynes,4.840000153,20.36499977
2014,8,Haynes,61.15999985,17.68000031
2014,9,Haynes,21.12999916,14.25
2014,10,Haynes,27.92000008,8.93999958
2014,11,Haynes,29.43000031,-1.554999948
2014,12,Haynes,31.29999924,-3.610000134
2015,1,Haynes,13.59000015,-2.485000134
2015,2,Haynes,14.85999966,0.045000076
2015,3,Haynes,9.460000038,4.154999733
2015,4,Haynes,25.18000031,5.599999905
2015,5,Haynes,65.81999969,10.37900066
2015,6,Haynes,24.60000038,17.53500175
1981,1,McDevitt,6.25,-3.220000029
1981,2,McDevitt,32.04000092,-2.450000048
1981,3,McDevitt,23.95000076,1.444999933
1981,4,McDevitt,33.34000015,4.724999905
1981,5,McDevitt,94.26000214,8.680000305
1981,6,McDevitt,41.77999878,12.57999992
1981,7,McDevitt,4.340000153,18.00500107
1981,8,McDevitt,5.96999979,19.23500061
1981,9,McDevitt,13.68999958,13.43000031
1981,10,McDevitt,18.92000008,5.019999981
1981,11,McDevitt,39.56000137,0.049999952
1981,12,McDevitt,45.52000046,-4.684999943
1982,1,McDevitt,31.63999939,-8.079999924
1982,2,McDevitt,21.52000046,-7.264999866
1982,3,McDevitt,44.56000137,-0.110000134
1982,4,McDevitt,44.63000107,1.069999933
1982,5,McDevitt,48.88000107,7.545000076
1982,6,McDevitt,39.77000046,12.53999996
1982,7,McDevitt,26.95999908,16.92499924
1982,8,McDevitt,20.86000061,18.65999985
1982,9,McDevitt,50.47000122,12.10000038
1982,10,McDevitt,33.97999954,5.09499979
1982,11,McDevitt,12.31000042,-3.575000286
1982,12,McDevitt,40.54999924,-5.930000305
1983,1,McDevitt,13.46000004,-3.604999781
1983,2,McDevitt,18.38999939,-2.25
1983,3,McDevitt,32.00999832,1.064999819
1983,4,McDevitt,17.87000084,2.38499999
1983,5,McDevitt,20.35000038,7.940000057
1983,6,McDevitt,48.15000153,12.64500046
1983,7,McDevitt,57.25999832,16.40000153
1983,8,McDevitt,54.25999832,18.97000122
1983,9,McDevitt,23.54000092,12.125
1983,10,McDevitt,27.12000084,6.809999943
1983,11,McDevitt,54.18999863,-1.765000105
1983,12,McDevitt,36.52999878,-11.66500092
1984,1,McDevitt,21.56999969,-7.585000038
1984,2,McDevitt,14.22000027,-5.240000248
1984,3,McDevitt,35.06999969,-1.069999933
1984,4,McDevitt,52.11999893,2.470000029
1984,5,McDevitt,54.15000153,7.664999962
1984,6,McDevitt,78.58999634,11.47000027
1984,7,McDevitt,37.47000122,18.03499985
1984,8,McDevitt,29.92000008,18.09000015
1984,9,McDevitt,22.37999916,10.73499966
1984,10,McDevitt,24.77000046,3.53000021
1984,11,McDevitt,31.46999931,-3.215000153
1984,12,McDevitt,25.94000053,-9.809999466
1985,1,McDevitt,16.18000031,-7.720000267
1985,2,McDevitt,11.77000046,-9.295000076
1985,3,McDevitt,26.17000008,-3.710000038
1985,4,McDevitt,9.199999809,5.75
1985,5,McDevitt,50.91999817,9.960000038
1985,6,McDevitt,7.349999905,14.36999989
1985,7,McDevitt,18.05999947,20.30500031
1985,8,McDevitt,17.37999916,15.92000008
1985,9,McDevitt,58.18000031,9.68500042
1985,10,McDevitt,14.56000042,4.710000038
1985,11,McDevitt,33.63999939,-6.389999866
1985,12,McDevitt,13.32999992,-9.369999886
1986,1,McDevitt,23.35000038,-4.414999962
1986,2,McDevitt,61.86999893,-1.329999924
1986,3,McDevitt,20.27000046,3.375
1986,4,McDevitt,36.79999924,4.774999619
1986,5,McDevitt,40.77000046,8.914999962
1986,6,McDevitt,28.22999954,16.34500122
1986,7,McDevitt,27.09000015,16.27499962
1986,8,McDevitt,41.15000153,19.16500092
1986,9,McDevitt,52.31000137,9.130000114
1986,10,McDevitt,14.85000038,6.820000172
1986,11,McDevitt,30.5,-1.105000019
1986,12,McDevitt,7.730000019,-4.934999943
1987,1,McDevitt,15.31000042,-6.585000038
1987,2,McDevitt,20.15999985,-2.289999962
1987,3,McDevitt,23.98999977,0.61500001
1987,4,McDevitt,9.350000381,8.380000114
1987,5,McDevitt,71,10.97499943
1987,6,McDevitt,30.93000031,14.38500023
1987,7,McDevitt,52.81999969,16.22999954
1987,8,McDevitt,17.37000084,15.6449995
1987,9,McDevitt,0,14.73499966
1987,10,McDevitt,0.649999976,8.759999275
1987,11,McDevitt,16.29000092,0.529999971
1987,12,McDevitt,32.50999832,-5.815000057
1988,1,McDevitt,23.36000061,-7.96999979
1988,2,McDevitt,18.36000061,-3.099999905
1988,3,McDevitt,23,-1.004999876
1988,4,McDevitt,45.65000153,5.679999828
1988,5,McDevitt,49.04000092,9.329999924
1988,6,McDevitt,23.28000069,16.43499947
1988,7,McDevitt,0.07,19.73500061
1988,8,McDevitt,10.22999954,18.02500153
1988,9,McDevitt,5.150000095,11.91499996
1988,10,McDevitt,6.159999847,10.17499924
1988,11,McDevitt,56.79000092,-3.674999952
1988,12,McDevitt,14.27000046,-7.444999695
1989,1,McDevitt,30.93000031,-7.734999657
1989,2,McDevitt,20.13999939,-8.510000229
1989,3,McDevitt,36.36000061,-1.035000086
1989,4,McDevitt,11.52000046,5.414999962
1989,5,McDevitt,38.27999878,8.020000458
1989,6,McDevitt,21.32999992,13.375
1989,7,McDevitt,16.10000038,19.45999908
1989,8,McDevitt,32.40000153,15.96000004
1989,9,McDevitt,16.87999916,12.13000011
1989,10,McDevitt,30.62999916,5.599999905
1989,11,McDevitt,14.59000015,-0.929999948
1989,12,McDevitt,22.84000015,-5.034999847
1990,1,McDevitt,31.68000031,-5.480000019
1990,2,McDevitt,8.56000042,-6.129999638
1990,3,McDevitt,22.81999969,-0.414999962
1990,4,McDevitt,37.41999817,6.794999599
1990,5,McDevitt,49.54000092,6.924999714
1990,6,McDevitt,31.38999939,12.22500038
1990,7,McDevitt,25.09000015,17.875
1990,8,McDevitt,45.65999985,17.45499992
1990,9,McDevitt,8.520000458,15.35000038
1990,10,McDevitt,21.02000046,4.910000324
1990,11,McDevitt,24.13999939,-0.789999962
1990,12,McDevitt,29.92000008,-11.76500034
1991,1,McDevitt,16.87999916,-8.100000381
1991,2,McDevitt,7.059999943,-0.079999924
1991,3,McDevitt,38.29000092,-0.945000052
1991,4,McDevitt,38.59000015,2.980000019
1991,5,McDevitt,55.27999878,6.764999866
1991,6,McDevitt,61.33000183,11.69499969
1991,7,McDevitt,4.230000019,18.22500038
1991,8,McDevitt,14.98999977,19.80500031
1991,9,McDevitt,24.79999924,13.79500008
1991,10,McDevitt,29.20999908,5.675000191
1991,11,McDevitt,69.59999847,-4.324999809
1991,12,McDevitt,20.32999992,-5.809999943
1992,1,McDevitt,8.100000381,-5.725000381
1992,2,McDevitt,18.12000084,-0.9799999
1992,3,McDevitt,11.22999954,3.235000134
1992,4,McDevitt,21.77000046,6.355000019
1992,5,McDevitt,13.56000042,11.28499985
1992,6,McDevitt,70.18000031,14.81000042
1992,7,McDevitt,31.13999939,15.47000027
1992,8,McDevitt,1.850000024,18.20999908
1992,9,McDevitt,17.94000053,11.17000008
1992,10,McDevitt,38.09999847,8.145000458
1992,11,McDevitt,28.34000015,-4.269999981
1992,12,McDevitt,36.15000153,-8.309999466
1993,1,McDevitt,16.88999939,-9.710000038
1993,2,McDevitt,14.14999962,-6.694999695
1993,3,McDevitt,37.47000122,1.61500001
1993,4,McDevitt,43.59000015,2.919999838
1993,5,McDevitt,30.42000008,11.07999992
1993,6,McDevitt,86.16999817,10.99499989
1993,7,McDevitt,54.79000092,12.22999954
1993,8,McDevitt,35.95000076,14.47499943
1993,9,McDevitt,3.210000038,11.93000031
1993,10,McDevitt,18.09000015,6.505000114
1993,11,McDevitt,11.60999966,-4.360000134
1993,12,McDevitt,15.39000034,-6.380000114
1994,1,McDevitt,28.82999992,-4.255000114
1994,2,McDevitt,36.84999847,-5.789999962
1994,3,McDevitt,9.550000191,1.069999933
1994,4,McDevitt,29.09000015,5.68999958
1994,5,McDevitt,40.99000168,10.57000065
1994,6,McDevitt,21.31999969,13.63000011
1994,7,McDevitt,14.89999962,17.80500031
1994,8,McDevitt,6.440000057,18.86499977
1994,9,McDevitt,2.5,14.30000019
1994,10,McDevitt,28.78000069,4.910000324
1994,11,McDevitt,41.09000015,-5.53000021
1994,12,McDevitt,27.63999939,-5.809999943
1995,1,McDevitt,31.22999954,-6.994999886
1995,2,McDevitt,12.39000034,-0.829999924
1995,3,McDevitt,45.47999954,-1.089999914
1995,4,McDevitt,47.41999817,3.019999743
1995,5,McDevitt,79.38999939,7.400000095
1995,6,McDevitt,72.86000061,11.52499962
1995,7,McDevitt,40.11999893,17.04000092
1995,8,McDevitt,10.93000031,17.22999954
1995,9,McDevitt,21.92000008,13.40999985
1995,10,McDevitt,25.67000008,3.679999828
1995,11,McDevitt,43.79000092,-0.23999989
1995,12,McDevitt,36.38999939,-4.925000191
1996,1,McDevitt,42.83000183,-6.795000076
1996,2,McDevitt,31.85000038,-4.865000248
1996,3,McDevitt,40.06000137,-0.775000095
1996,4,McDevitt,35.40999985,4.144999981
1996,5,McDevitt,44.77000046,6.555000305
1996,6,McDevitt,17.94000053,13.81999969
1996,7,McDevitt,3.049999952,18.82500076
1996,8,McDevitt,5.489999771,18.13500023
1996,9,McDevitt,6.829999924,11.09999943
1996,10,McDevitt,25.23999977,5.779999733
1996,11,McDevitt,33.54999924,-0.919999957
1996,12,McDevitt,56.63999939,-5.539999962
1997,1,McDevitt,48,-7.065000057
1997,2,McDevitt,25.79999924,-4.539999962
1997,3,McDevitt,22.26000023,-0.109999895
1997,4,McDevitt,42.25999832,1.999999762
1997,5,McDevitt,22.67000008,10.125
1997,6,McDevitt,66.51999664,13.50499916
1997,7,McDevitt,26.73999977,16.74500084
1997,8,McDevitt,18.46999931,17.30500031
1997,9,McDevitt,33.91999817,13.01000023
1997,10,McDevitt,50.97000122,5.070000172
1997,11,McDevitt,20.27000046,-1.11500001
1997,12,McDevitt,16.28000069,-7.099999905
1998,1,McDevitt,49.70999908,-4.610000134
1998,2,McDevitt,17.28000069,-3.689999819
