SpeciesAuthor,MatrixPopulation,MatrixStartYear,MatrixClassAuthor,N
Orchis_purpurea,Light Environment 1,2007,Nonflowering plants (more than 3 leaves),87
Orchis_purpurea,Light Environment 1,2007,Flowering plants,89
Orchis_purpurea,Light Environment 2,2002,Protocorms (germinated seeds),NA
Orchis_purpurea,Light Environment 2,2002,Tubers,NA
Orchis_purpurea,Light Environment 2,2002,"Seedlings (first year plants, one leaf)",5
Orchis_purpurea,Light Environment 2,2002,"Juveniles (older than one year, less than 3 leaves)",6
Orchis_purpurea,Light Environment 2,2002,Nonflowering plants (more than 3 leaves),27
Orchis_purpurea,Light Environment 2,2002,Flowering plants,20
Orchis_purpurea,Light Environment 2,2003,Protocorms (germinated seeds),NA
Orchis_purpurea,Light Environment 2,2003,Tubers,NA
Orchis_purpurea,Light Environment 2,2003,"Seedlings (first year plants, one leaf)",11
Orchis_purpurea,Light Environment 2,2003,"Juveniles (older than one year, less than 3 leaves)",7
Orchis_purpurea,Light Environment 2,2003,Nonflowering plants (more than 3 leaves),19
Orchis_purpurea,Light Environment 2,2003,Flowering plants,32
Orchis_purpurea,Light Environment 2,2004,Protocorms (germinated seeds),NA
Orchis_purpurea,Light Environment 2,2004,Tubers,NA
Orchis_purpurea,Light Environment 2,2004,"Seedlings (first year plants, one leaf)",8
Orchis_purpurea,Light Environment 2,2004,"Juveniles (older than one year, less than 3 leaves)",11
Orchis_purpurea,Light Environment 2,2004,Nonflowering plants (more than 3 leaves),17
Orchis_purpurea,Light Environment 2,2004,Flowering plants,40
Orchis_purpurea,Light Environment 2,2005,Protocorms (germinated seeds),NA
Orchis_purpurea,Light Environment 2,2005,Tubers,NA
Orchis_purpurea,Light Environment 2,2005,"Seedlings (first year plants, one leaf)",2
Orchis_purpurea,Light Environment 2,2005,"Juveniles (older than one year, less than 3 leaves)",15
Orchis_purpurea,Light Environment 2,2005,Nonflowering plants (more than 3 leaves),12
Orchis_purpurea,Light Environment 2,2005,Flowering plants,49
Orchis_purpurea,Light Environment 2,2006,Protocorms (germinated seeds),NA
Orchis_purpurea,Light Environment 2,2006,Tubers,NA
Orchis_purpurea,Light Environment 2,2006,"Seedlings (first year plants, one leaf)",6
Orchis_purpurea,Light Environment 2,2006,"Juveniles (older than one year, less than 3 leaves)",18
Orchis_purpurea,Light Environment 2,2006,Nonflowering plants (more than 3 leaves),30
Orchis_purpurea,Light Environment 2,2006,Flowering plants,31
Orchis_purpurea,Light Environment 2,2007,Protocorms (germinated seeds),NA
Orchis_purpurea,Light Environment 2,2007,Tubers,NA
Orchis_purpurea,Light Environment 2,2007,"Seedlings (first year plants, one leaf)",12
Orchis_purpurea,Light Environment 2,2007,"Juveniles (older than one year, less than 3 leaves)",8
Orchis_purpurea,Light Environment 2,2007,Nonflowering plants (more than 3 leaves),36
Orchis_purpurea,Light Environment 2,2007,Flowering plants,41
Orchis_purpurea,Light Environment 3,2002,Protocorms (germinated seeds),NA
Orchis_purpurea,Light Environment 3,2002,Tubers,NA
Orchis_purpurea,Light Environment 3,2002,"Seedlings (first year plants, one leaf)",2
Orchis_purpurea,Light Environment 3,2002,"Juveniles (older than one year, less than 3 leaves)",7
Orchis_purpurea,Light Environment 3,2002,Nonflowering plants (more than 3 leaves),14
Orchis_purpurea,Light Environment 3,2002,Flowering plants,7
Orchis_purpurea,Light Environment 3,2003,Protocorms (germinated seeds),NA
Orchis_purpurea,Light Environment 3,2003,Tubers,NA
Orchis_purpurea,Light Environment 3,2003,"Seedlings (first year plants, one leaf)",1
Orchis_purpurea,Light Environment 3,2003,"Juveniles (older than one year, less than 3 leaves)",2
Orchis_purpurea,Light Environment 3,2003,Nonflowering plants (more than 3 leaves),11
Orchis_purpurea,Light Environment 3,2003,Flowering plants,17
Orchis_purpurea,Light Environment 3,2004,Protocorms (germinated seeds),NA
Orchis_purpurea,Light Environment 3,2004,Tubers,NA
Orchis_purpurea,Light Environment 3,2004,"Seedlings (first year plants, one leaf)",1
Orchis_purpurea,Light Environment 3,2004,"Juveniles (older than one year, less than 3 leaves)",1
Orchis_purpurea,Light Environment 3,2004,Nonflowering plants (more than 3 leaves),8
Orchis_purpurea,Light Environment 3,2004,Flowering plants,22
Orchis_purpurea,Light Environment 3,2005,Protocorms (germinated seeds),NA
Orchis_purpurea,Light Environment 3,2005,Tubers,NA
Orchis_purpurea,Light Environment 3,2005,"Seedlings (first year plants, one leaf)",1
Orchis_purpurea,Light Environment 3,2005,"Juveniles (older than one year, less than 3 leaves)",1
Orchis_purpurea,Light Environment 3,2005,Nonflowering plants (more than 3 leaves),9
Orchis_purpurea,Light Environment 3,2005,Flowering plants,22
Orchis_purpurea,Light Environment 3,2006,Protocorms (germinated seeds),NA
Orchis_purpurea,Light Environment 3,2006,Tubers,NA
Orchis_purpurea,Light Environment 3,2006,"Seedlings (first year plants, one leaf)",1
Orchis_purpurea,Light Environment 3,2006,"Juveniles (older than one year, less than 3 leaves)",2
Orchis_purpurea,Light Environment 3,2006,Nonflowering plants (more than 3 leaves),13
Orchis_purpurea,Light Environment 3,2006,Flowering plants,18
Orchis_purpurea,Light Environment 3,2007,Protocorms (germinated seeds),NA
Orchis_purpurea,Light Environment 3,2007,Tubers,NA
Orchis_purpurea,Light Environment 3,2007,"Seedlings (first year plants, one leaf)",0
Orchis_purpurea,Light Environment 3,2007,"Juveniles (older than one year, less than 3 leaves)",2
Orchis_purpurea,Light Environment 3,2007,Nonflowering plants (more than 3 leaves),15
Orchis_purpurea,Light Environment 3,2007,Flowering plants,18
